id,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2020-09-0645.61569.28111,24.6,16.1,20.7,7.6,9.5
2020-09-1343.997511.3719,29.6,17.3,23.5,0.0,14.7
2020-09-2743.405739.9578,31.7,17.7,25.2,0.0,11.2
2020-10-1150.33566.9475,9.7,4.6,6.7,0.4,11.5
2020-10-2537.227-8.6267,20.0,13.0,16.8,3.2,29.6
2020-11-0144.343911.7167,18.3,10.6,14.3,0.0,8.2
2020-11-1540.951729.405,12.8,9.4,11.2,0.4,10.8
2020-11-2926.032550.5106,25.0,21.4,23.8,0.0,23.8
2020-12-0626.032550.5106,25.6,18.7,22.3,0.0,36.4
2020-12-1324.467254.6031,25.6,16.6,21.3,0.0,19.2
2021-03-2826.032550.5106,22.6,20.4,21.4,0.0,47.7
2021-04-1844.343911.7167,13.6,3.2,8.7,0.3,15.3
2021-05-0237.227-8.6267,18.8,9.7,14.4,0.0,26.4
2021-05-0941.572.26111,21.1,12.8,17.4,0.7,20.1
2021-05-2343.73477.42056,22.1,13.4,17.7,1.1,11.6
2021-06-0640.372549.8533,21.5,19.2,20.4,0.0,23.6
2021-06-2043.25065.79167,26.5,18.8,22.8,1.9,24.5
2021-06-2747.219714.7647,25.7,15.6,21.0,0.6,7.3
2021-07-0447.219714.7647,21.5,14.1,18.0,9.1,8.4
2021-07-1852.0786-1.01694,27.3,13.4,21.7,0.0,7.1
2021-08-0147.578919.2486,30.5,15.9,23.0,0.9,21.5
