precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,year,driverId,grid,driver_age,constructor,driver_count,results
12.5,28.7,25.1,26.5,17.9,15,9,2017,825,16,31,210,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,807,7,36,4,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,828,20,33,15,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,826,13,29,5,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,4,8,42,1,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,20,1,36,6,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,830,2,26,9,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,8,4,44,6,20,0
9.0,29.1,23.9,26.2,11.9,2,10,2017,830,3,26,9,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,1,1,38,131,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,817,4,34,9,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,20,20,36,6,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,822,5,34,131,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,815,9,33,10,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,838,7,31,1,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,840,13,24,3,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,13,11,42,3,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,839,6,27,10,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,4,10,42,1,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,825,17,31,210,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,154,16,37,210,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,842,15,27,5,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,835,12,32,4,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,807,8,36,4,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,836,18,29,15,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,828,19,33,15,20,1
9.0,29.1,23.9,26.2,11.9,2,10,2017,832,14,29,5,20,0
9.0,29.1,23.9,26.2,11.9,2,10,2017,8,0,44,6,20,0
1.5,25.4,18.7,21.6,10.6,22,10,2017,1,1,38,131,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,830,4,26,9,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,817,3,34,9,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,822,6,34,131,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,8,10,44,6,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,839,5,27,10,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,815,7,33,10,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,825,12,31,210,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,154,13,37,210,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,13,8,42,3,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,4,20,42,1,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,835,18,32,4,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,842,14,27,5,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,838,9,31,1,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,836,17,29,15,20,1
1.5,25.4,18.7,21.6,10.6,22,10,2017,840,15,24,3,20,0
1.5,25.4,18.7,21.6,10.6,22,10,2017,807,11,36,4,20,0
1.5,25.4,18.7,21.6,10.6,22,10,2017,828,16,33,15,20,0
1.5,25.4,18.7,21.6,10.6,22,10,2017,20,2,36,6,20,0
1.5,25.4,18.7,21.6,10.6,22,10,2017,832,19,29,5,20,0
19.5,25.9,18.9,23.0,20.6,69,10,2017,1,1,38,131,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,20,2,36,6,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,8,5,44,6,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,830,16,26,9,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,822,3,34,131,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,839,6,27,10,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,832,7,29,4,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,815,9,33,10,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,13,10,42,3,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,826,11,29,5,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,840,15,24,3,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,838,20,31,1,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,843,19,33,5,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,154,12,37,210,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,828,13,33,15,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,825,17,31,210,20,1
19.5,25.9,18.9,23.0,20.6,69,10,2017,4,8,42,1,20,0
19.5,25.9,18.9,23.0,20.6,69,10,2017,817,4,34,9,20,0
19.5,25.9,18.9,23.0,20.6,69,10,2017,836,14,29,15,20,0
19.5,25.9,18.9,23.0,20.6,69,10,2017,807,18,36,4,20,0
0.0,20.7,10.3,15.5,8.4,32,10,2017,830,2,26,9,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,822,4,34,131,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,8,5,44,6,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,20,1,36,6,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,839,6,27,10,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,840,11,24,3,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,815,9,33,10,20,1
0.0,20.7,10.3,15.5,8.4,32,10,2017,825,14,31,210,20,1
